date,total_sales,day_of_week,month_name,day,year
2016-02-03,742.25,Wednesday,February,3,2016
2016-02-04,492.9,Thursday,February,4,2016
2016-02-05,2469.8,Friday,February,5,2016
2016-02-06,7776.6,Saturday,February,6,2016
2016-02-07,4735.25,Sunday,February,7,2016
2016-02-08,2195.5,Monday,February,8,2016
2016-02-09,503.3,Tuesday,February,9,2016
2016-02-10,1440.2,Wednesday,February,10,2016
2016-02-11,1592.43,Thursday,February,11,2016
2016-02-12,3287.5,Friday,February,12,2016
2016-02-13,7877.3,Saturday,February,13,2016
2016-02-14,6690.65,Sunday,February,14,2016
2016-02-15,346.5,Monday,February,15,2016
2016-02-16,635.3,Tuesday,February,16,2016
2016-02-17,937.85,Wednesday,February,17,2016
2016-02-18,642.5,Thursday,February,18,2016
2016-02-19,2887.25,Friday,February,19,2016
2016-02-20,6792.65,Saturday,February,20,2016
2016-02-21,4224.4,Sunday,February,21,2016
2016-02-22,599.2,Monday,February,22,2016
2016-02-23,418.8,Tuesday,February,23,2016
2016-02-24,694.5,Wednesday,February,24,2016
2016-02-25,397.75,Thursday,February,25,2016
2016-02-26,3412.2,Friday,February,26,2016
2016-02-27,7522.9,Saturday,February,27,2016
2016-02-28,5217.5,Sunday,February,28,2016
2016-02-29,513.0,Monday,February,29,2016
2016-03-01,387.6,Tuesday,March,1,2016
2016-03-02,622.7,Wednesday,March,2,2016
2016-03-03,463.8,Thursday,March,3,2016
2016-03-04,3124.2,Friday,March,4,2016
2016-03-05,8628.45,Saturday,March,5,2016
2016-03-06,4590.6,Sunday,March,6,2016
2016-03-07,455.3,Monday,March,7,2016
2016-03-08,456.0,Tuesday,March,8,2016
2016-03-09,656.3,Wednesday,March,9,2016
2016-03-10,518.4,Thursday,March,10,2016
2016-03-11,2786.15,Friday,March,11,2016
2016-03-12,7146.3,Saturday,March,12,2016
2016-03-13,3518.9,Sunday,March,13,2016
2016-03-14,593.25,Monday,March,14,2016
2016-03-15,458.75,Tuesday,March,15,2016
2016-03-16,1106.9,Wednesday,March,16,2016
2016-03-17,1815.15,Thursday,March,17,2016
2016-03-18,3061.75,Friday,March,18,2016
2016-03-19,6703.9,Saturday,March,19,2016
2016-03-20,4689.65,Sunday,March,20,2016
2016-03-21,2144.2,Monday,March,21,2016
2016-03-22,2096.65,Tuesday,March,22,2016
2016-03-23,3570.85,Wednesday,March,23,2016
2016-03-24,2694.0,Thursday,March,24,2016
2016-03-25,4307.8,Friday,March,25,2016
2016-03-26,3769.4,Saturday,March,26,2016
2016-03-27,2267.45,Sunday,March,27,2016
2016-03-28,2316.8,Monday,March,28,2016
2016-03-29,1937.6,Tuesday,March,29,2016
2016-03-30,762.3,Wednesday,March,30,2016
2016-03-31,835.3,Thursday,March,31,2016
2016-04-01,2715.1,Friday,April,1,2016
2016-04-02,6008.2,Saturday,April,2,2016
2016-04-03,5639.9,Sunday,April,3,2016
2016-04-04,623.8,Monday,April,4,2016
2016-04-05,239.9,Tuesday,April,5,2016
2016-04-06,777.15,Wednesday,April,6,2016
2016-04-07,269.8,Thursday,April,7,2016
2016-04-08,3310.05,Friday,April,8,2016
2016-04-09,6073.35,Saturday,April,9,2016
2016-04-10,4318.65,Sunday,April,10,2016
2016-04-11,1343.9,Monday,April,11,2016
2016-04-12,41.85,Tuesday,April,12,2016
2016-04-13,350.5,Wednesday,April,13,2016
2016-04-14,575.5,Thursday,April,14,2016
2016-04-15,2381.3,Friday,April,15,2016
2016-04-16,8489.85,Saturday,April,16,2016
2016-04-17,3299.95,Sunday,April,17,2016
2016-04-18,538.5,Monday,April,18,2016
2016-04-19,601.0,Tuesday,April,19,2016
2016-04-20,962.4,Wednesday,April,20,2016
2016-04-21,645.6,Thursday,April,21,2016
2016-04-22,3040.65,Friday,April,22,2016
2016-04-23,7277.8,Saturday,April,23,2016
2016-04-24,4143.1,Sunday,April,24,2016
2016-04-25,285.2,Monday,April,25,2016
2016-04-26,202.5,Tuesday,April,26,2016
2016-04-27,536.6,Wednesday,April,27,2016
2016-04-28,341.0,Thursday,April,28,2016
2016-04-29,2644.6,Friday,April,29,2016
2016-04-30,3867.7,Saturday,April,30,2016
2016-05-01,3985.65,Sunday,May,1,2016
2016-05-02,2411.4,Monday,May,2,2016
2016-05-03,561.5,Tuesday,May,3,2016
2016-05-04,1014.0,Wednesday,May,4,2016
2016-05-05,409.8,Thursday,May,5,2016
2016-05-06,3206.65,Friday,May,6,2016
2016-05-07,8089.45,Saturday,May,7,2016
2016-05-08,5338.8,Sunday,May,8,2016
2016-05-09,958.8,Monday,May,9,2016
2016-05-10,995.55,Tuesday,May,10,2016
2016-05-11,1403.9,Wednesday,May,11,2016
2016-05-12,784.8,Thursday,May,12,2016
2016-05-13,2993.2,Friday,May,13,2016
2016-05-14,3199.8,Saturday,May,14,2016
2016-05-15,3225.9,Sunday,May,15,2016
2016-05-16,2222.1,Monday,May,16,2016
2016-05-17,234.7,Tuesday,May,17,2016
2016-05-18,626.2,Wednesday,May,18,2016
2016-05-19,1045.5,Thursday,May,19,2016
2016-05-20,2151.1,Friday,May,20,2016
2016-05-21,4385.55,Saturday,May,21,2016
2016-05-22,1787.05,Sunday,May,22,2016
2016-05-23,511.5,Monday,May,23,2016
2016-05-24,368.8,Tuesday,May,24,2016
2016-05-25,832.1,Wednesday,May,25,2016
2016-05-26,603.3,Thursday,May,26,2016
2016-05-27,1993.6,Friday,May,27,2016
2016-05-28,3199.55,Saturday,May,28,2016
2016-05-29,4405.8,Sunday,May,29,2016
2016-05-30,429.5,Monday,May,30,2016
2016-05-31,526.0,Tuesday,May,31,2016
2016-06-01,709.5,Wednesday,June,1,2016
2016-06-02,450.0,Thursday,June,2,2016
2016-06-03,2937.2,Friday,June,3,2016
2016-06-04,4267.45,Saturday,June,4,2016
2016-06-05,3312.6,Sunday,June,5,2016
2016-06-06,306.5,Monday,June,6,2016
2016-06-07,542.3,Tuesday,June,7,2016
2016-06-08,652.55,Wednesday,June,8,2016
2016-06-09,1658.25,Thursday,June,9,2016
2016-06-10,2157.3,Friday,June,10,2016
2016-06-11,2738.15,Saturday,June,11,2016
2016-06-12,2856.2,Sunday,June,12,2016
2016-06-13,1561.2,Monday,June,13,2016
2016-06-14,1007.95,Tuesday,June,14,2016
2016-06-15,1338.9,Wednesday,June,15,2016
2016-06-16,1716.6,Thursday,June,16,2016
2016-06-17,3002.0,Friday,June,17,2016
2016-06-18,3295.2,Saturday,June,18,2016
2016-06-19,4382.5,Sunday,June,19,2016
2016-06-20,1275.85,Monday,June,20,2016
2016-06-21,1440.05,Tuesday,June,21,2016
2016-06-22,1443.1,Wednesday,June,22,2016
2016-06-23,1490.3,Thursday,June,23,2016
2016-06-24,1609.0,Friday,June,24,2016
2016-06-25,2193.9,Saturday,June,25,2016
2016-06-26,1752.15,Sunday,June,26,2016
2016-06-27,636.6,Monday,June,27,2016
2016-06-28,752.6,Tuesday,June,28,2016
2016-06-29,1319.5,Wednesday,June,29,2016
2016-06-30,755.9,Thursday,June,30,2016
2016-07-01,1269.05,Friday,July,1,2016
2016-07-02,2835.7,Saturday,July,2,2016
