date,total_sales,day_of_week
2016-03-31,835.3,Thursday
2016-04-01,2715.1,Friday
2016-04-02,6008.2,Saturday
2016-04-03,5639.9,Sunday
2016-04-04,623.8,Monday
2016-04-05,239.9,Tuesday
2016-04-06,777.15,Wednesday
2016-04-07,269.8,Thursday
2016-04-08,3310.05,Friday
2016-04-09,6073.35,Saturday
2016-04-10,4318.65,Sunday
2016-04-11,1343.9,Monday
2016-04-12,41.85,Tuesday
2016-04-13,350.5,Wednesday
2016-04-14,575.5,Thursday
2016-04-15,2381.3,Friday
2016-04-16,8489.85,Saturday
2016-04-17,3299.95,Sunday
2016-04-18,538.5,Monday
2016-04-19,601.0,Tuesday
2016-04-20,962.4,Wednesday
2016-04-21,645.6,Thursday
2016-04-22,3040.65,Friday
2016-04-23,7277.8,Saturday
2016-04-24,4143.1,Sunday
2016-04-25,285.2,Monday
2016-04-26,202.5,Tuesday
2016-04-27,536.6,Wednesday
2016-04-28,341.0,Thursday
2016-04-29,2644.6,Friday
2016-04-30,3867.7,Saturday
2016-05-01,3985.65,Sunday
2016-05-02,2411.4,Monday
2016-05-03,561.5,Tuesday
2016-05-04,1014.0,Wednesday
2016-05-05,409.8,Thursday
2016-05-06,3206.65,Friday
2016-05-07,8089.45,Saturday
2016-05-08,5338.8,Sunday
2016-05-09,958.8,Monday
2016-05-10,995.55,Tuesday
2016-05-11,1403.9,Wednesday
2016-05-12,784.8,Thursday
2016-05-13,2993.2,Friday
2016-05-14,3199.8,Saturday
2016-05-15,3225.9,Sunday
2016-05-16,2222.1,Monday
2016-05-17,234.7,Tuesday
2016-05-18,626.2,Wednesday
2016-05-19,1045.5,Thursday
2016-05-20,2151.1,Friday
2016-05-21,4385.55,Saturday
2016-05-22,1787.05,Sunday
2016-05-23,511.5,Monday
2016-05-24,368.8,Tuesday
2016-05-25,832.1,Wednesday
2016-05-26,603.3,Thursday
2016-05-27,1993.6,Friday
2016-05-28,3199.55,Saturday
2016-05-29,4405.8,Sunday
2016-05-30,429.5,Monday
2016-05-31,526.0,Tuesday
2016-06-01,709.5,Wednesday
2016-06-02,450.0,Thursday
2016-06-03,2937.2,Friday
2016-06-04,4267.45,Saturday
2016-06-05,3312.6,Sunday
2016-06-06,306.5,Monday
2016-06-07,542.3,Tuesday
2016-06-08,652.55,Wednesday
2016-06-09,1658.25,Thursday
2016-06-10,2157.3,Friday
2016-06-11,2738.15,Saturday
2016-06-12,2856.2,Sunday
2016-06-13,1561.2,Monday
2016-06-14,1007.95,Tuesday
2016-06-15,1338.9,Wednesday
2016-06-16,1716.6,Thursday
2016-06-17,3002.0,Friday
2016-06-18,3295.2,Saturday
2016-06-19,4382.5,Sunday
2016-06-20,1275.85,Monday
2016-06-21,1440.05,Tuesday
2016-06-22,1443.1,Wednesday
2016-06-23,1490.3,Thursday
2016-06-24,1609.0,Friday
2016-06-25,2193.9,Saturday
2016-06-26,1752.15,Sunday
2016-06-27,636.6,Monday
2016-06-28,752.6,Tuesday
2016-06-29,1319.5,Wednesday
2016-06-30,755.9,Thursday
2016-07-01,1269.05,Friday
2016-07-02,2835.7,Saturday
2016-07-03,1246.9,Sunday
2016-07-04,734.9,Monday
2016-07-05,982.6,Tuesday
2016-07-06,1200.0,Wednesday
2016-07-07,980.4,Thursday
2016-07-08,1096.6,Friday
2016-07-09,2522.7,Saturday
2016-07-10,1555.5,Sunday
2016-07-11,874.0,Monday
2016-07-12,1102.3,Tuesday
2016-07-13,1086.35,Wednesday
2016-07-14,827.8,Thursday
2016-07-15,1480.2,Friday
2016-07-16,1942.3,Saturday
2016-07-17,1221.3,Sunday
2016-07-18,1121.75,Monday
2016-07-19,827.45,Tuesday
2016-07-20,1242.1,Wednesday
2016-07-21,952.5,Thursday
2016-07-22,1324.2,Friday
2016-07-23,1076.9,Saturday
2016-07-24,1791.45,Sunday
2016-07-25,1453.25,Monday
2016-07-26,858.2,Tuesday
2016-07-27,1103.65,Wednesday
2016-07-28,943.4,Thursday
2016-07-29,1338.9,Friday
2016-07-30,2438.7,Saturday
2016-07-31,1583.4,Sunday
2016-08-01,618.7,Monday
2016-08-02,952.55,Tuesday
2016-08-03,1126.6,Wednesday
2016-08-04,704.4,Thursday
2016-08-05,838.65,Friday
2016-08-06,1831.0,Saturday
2016-08-07,1075.25,Sunday
2016-08-08,470.6,Monday
2016-08-09,954.3,Tuesday
2016-08-10,1212.1,Wednesday
2016-08-11,767.6,Thursday
2016-08-12,1007.8,Friday
2016-08-13,1319.7,Saturday
2016-08-14,1531.0,Sunday
2016-08-15,1438.2,Monday
2016-08-16,735.7,Tuesday
2016-08-17,916.3,Wednesday
2016-08-18,986.15,Thursday
2016-08-19,858.9,Friday
2016-08-20,1781.1,Saturday
2016-08-21,1516.45,Sunday
2016-08-22,685.95,Monday
2016-08-23,756.2,Tuesday
2016-08-24,1243.3,Wednesday
2016-08-25,1465.2,Thursday
2016-08-26,1373.1,Friday
2016-08-27,1948.8,Saturday
2016-08-28,1311.7,Sunday
2016-08-29,943.4,Monday
2016-08-30,1236.4,Tuesday
2016-08-31,1530.6,Wednesday
2016-09-01,1309.6,Thursday
2016-09-02,1572.5,Friday
2016-09-03,3357.4,Saturday
2016-09-04,2241.1,Sunday
2016-09-05,983.0,Monday
2016-09-06,1219.35,Tuesday
2016-09-07,1513.35,Wednesday
2016-09-08,952.95,Thursday
2016-09-09,2214.7,Friday
2016-09-10,3141.35,Saturday
2016-09-11,2671.3,Sunday
2016-09-12,896.5,Monday
2016-09-13,973.2,Tuesday
2016-09-14,855.75,Wednesday
2016-09-15,1059.45,Thursday
2016-09-16,2256.1,Friday
2016-09-17,4588.95,Saturday
2016-09-18,3566.2,Sunday
2016-09-19,819.2,Monday
2016-09-20,1027.4,Tuesday
2016-09-21,733.2,Wednesday
2016-09-22,933.0,Thursday
2016-09-23,1963.45,Friday
2016-09-24,4847.35,Saturday
2016-09-25,2885.1,Sunday
2016-09-26,672.55,Monday
2016-09-27,943.3,Tuesday
2016-09-28,701.6,Wednesday
2016-09-29,1361.5,Thursday
2016-09-30,2492.8,Friday
2016-10-01,5698.65,Saturday
2016-10-02,3127.2,Sunday
2016-10-03,538.6,Monday
2016-10-04,653.3,Tuesday
2016-10-05,846.15,Wednesday
2016-10-06,426.8,Thursday
2016-10-07,2659.25,Friday
2016-10-08,5370.7,Saturday
2016-10-09,4302.35,Sunday
2016-10-10,326.5,Monday
2016-10-11,1278.9,Tuesday
2016-10-12,7427.6,Wednesday
2016-10-13,734.8,Thursday
2016-10-14,2509.05,Friday
2016-10-15,5945.1,Saturday
2016-10-16,4219.45,Sunday
2016-10-17,422.2,Monday
2016-10-18,214.95,Tuesday
2016-10-19,713.1,Wednesday
2016-10-20,532.1,Thursday
2016-10-21,2929.9,Friday
2016-10-22,8457.8,Saturday
2016-10-23,5901.7,Sunday
2016-10-24,714.1,Monday
2016-10-25,2991.37,Tuesday
2016-10-26,1047.65,Wednesday
2016-10-27,1528.5,Thursday
2016-10-28,2114.2,Friday
2016-10-29,5418.0,Saturday
2016-10-30,3791.95,Sunday
2016-10-31,2687.8,Monday
2016-11-01,3431.1,Tuesday
2016-11-02,601.05,Wednesday
2016-11-03,641.6,Thursday
2016-11-04,2784.75,Friday
2016-11-05,8149.05,Saturday
2016-11-06,4826.0,Sunday
2016-11-07,278.0,Monday
2016-11-08,1744.2,Tuesday
2016-11-09,4341.35,Wednesday
2016-11-10,1053.0,Thursday
2016-11-11,2984.3,Friday
2016-11-12,8062.6,Saturday
2016-11-13,4627.7,Sunday
2016-11-14,576.0,Monday
2016-11-15,504.5,Tuesday
2016-11-16,850.1,Wednesday
